FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2018-03-31,One Number Away,Luke Combs,34,20,Luke Combs
2018-03-24,Delicate,Taylor Swift,12,35,Taylor Swift
2018-03-17,I Lived It,Blake Shelton,63,18,Blake Shelton
2018-03-10,Break Up In The End,Cole Swindell,49,17,Cole Swindell
2018-02-17,The Long Way,Brett Eldredge,65,12,Brett Eldredge
2018-02-17,Singles You Up,Jordan Davis,50,19,Jordan Davis
2018-02-10,Most People Are Good,Luke Bryan,43,18,Luke Bryan
2018-02-10,You Make It Easy,Jason Aldean,28,20,Jason Aldean
2018-02-10,The Middle,"Zedd, Maren Morris & Grey",5,40,Zedd;Grey;Maren Morris
2018-01-27,The Champion,Carrie Underwood Featuring Ludacris,47,3,Ludacris;Carrie Underwood
2018-01-27,Tequila,Dan + Shay,21,50,Dan + Shay
2017-12-23,Five More Minutes,Scotty McCreery,44,19,Scotty McCreery
2017-12-23,Marry Me,Thomas Rhett,30,19,Thomas Rhett
2017-12-16,Legends,Kelsea Ballerini,68,11,Kelsea Ballerini
2017-12-09,The Rest Of Our Life,Tim McGraw & Faith Hill,98,1,Tim McGraw;Faith Hill
2017-12-09,Written In The Sand,Old Dominion,51,19,Old Dominion
2017-12-09,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,13,Taylor Swift;Future;Ed Sheeran
2017-12-02,Female,Keith Urban,69,6,Keith Urban
2017-11-25,Call It What You Want,Taylor Swift,27,2,Taylor Swift
2017-11-11,Gorgeous,Taylor Swift,13,4,Taylor Swift
2017-11-11,Meant To Be,Bebe Rexha & Florida Georgia Line,2,51,Bebe Rexha;Florida Georgia Line
2017-11-04,You Broke Up With Me,Walker Hayes,62,18,Walker Hayes
2017-11-04,Yours,Russell Dickerson,49,19,Russell Dickerson
2017-10-28,Dear Hate,Maren Morris Featuring Vince Gill,91,1,Vince Gill;Maren Morris
2017-10-28,Heaven,Kane Brown,15,27,Kane Brown
2017-10-21,Smooth,Florida Georgia Line,89,7,Florida Georgia Line
2017-10-14,Losing Sleep,Chris Young,60,19,Chris Young
2017-10-14,Round Here Buzz,Eric Church,56,18,Eric Church
2017-10-14,Like I Loved You,Brett Young,46,19,Brett Young
2017-09-30,Found You,Kane Brown,80,1,Kane Brown
2017-09-30,I'll Name The Dogs,Blake Shelton,56,19,Blake Shelton
2017-09-30,Love So Soft,Kelly Clarkson,47,13,Kelly Clarkson
2017-09-23,...Ready For It?,Taylor Swift,4,19,Taylor Swift
2017-09-16,Light It Up,Luke Bryan,57,18,Luke Bryan
2017-09-09,Younger Now,Miley Cyrus,79,1,Miley Cyrus
2017-09-09,Look What You Made Me Do,Taylor Swift,1,19,Taylor Swift
2017-09-02,Fix A Drink,Chris Janson,67,14,Chris Janson
2017-09-02,More Girls Like You,Kip Moore,66,12,Kip Moore
