song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Guitar Man,Elvis Presley,1981,1,2,71.0,0,1981-01-01
Guitar Man,Elvis Presley,1981,2,4,45.25,0,1981-02-01
Guitar Man,Elvis Presley,1981,3,4,29.5,0,1981-03-01
Guitar Man,Elvis Presley,1981,4,4,77.75,0,1981-04-01
Hanky Panky,Madonna,1990,6,1,40.0,0,1990-06-01
Hanky Panky,Madonna,1990,7,4,21.5,0,1990-07-01
Hanky Panky,Madonna,1990,8,4,37.0,0,1990-08-01
Hanky Panky,Madonna,1990,9,2,90.5,0,1990-09-01
Happiness,Taylor Swift,2020,12,1,52.0,0,2020-12-01
Hard Headed Woman,Elvis Presley With The Jordanaires,1958,8,4,11.25,0,1958-08-01
Hard Headed Woman,Elvis Presley With The Jordanaires,1958,9,4,63.5,0,1958-09-01
Haunted,Taylor Swift,2010,11,1,63.0,0,2010-11-01
Haunted,Taylor Swift,2011,11,1,98.0,0,2011-11-01
Heartbreaker,Dolly Parton,1978,8,1,82.0,1,1978-08-01
Heartbreaker,Dolly Parton,1978,9,5,50.4,1,1978-09-01
Heartbreaker,Dolly Parton,1978,10,4,57.0,1,1978-10-01
Here We Go Again,Aretha Franklin,1998,7,2,94.0,0,1998-07-01
Here We Go Again,Aretha Franklin,1998,8,5,80.2,0,1998-08-01
Here We Go Again,Aretha Franklin,1998,9,4,92.75,0,1998-09-01
Here You Come Again,Dolly Parton,1977,10,3,70.66666666666667,1,1977-10-01
Here You Come Again,Dolly Parton,1977,11,4,35.0,1,1977-11-01
Here You Come Again,Dolly Parton,1977,12,5,10.6,1,1977-12-01
Here You Come Again,Dolly Parton,1978,1,4,6.0,1,1978-01-01
Here You Come Again,Dolly Parton,1978,2,3,58.333333333333336,1,1978-02-01
Hey Stephen,Taylor Swift,2008,11,1,94.0,0,2008-11-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,2,1,59.0,0,2013-02-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,3,2,82.5,0,2013-03-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,4,4,47.0,0,2013-04-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,5,4,32.5,0,2013-05-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,6,5,24.4,0,2013-06-01
Highway Don't Care,Tim McGraw With Taylor Swift,2013,7,4,45.25,0,2013-07-01
Hoax,Taylor Swift,2020,8,1,71.0,0,2020-08-01
Holiday,Madonna,1983,10,1,88.0,0,1983-10-01
Holiday,Madonna,1983,11,4,64.75,0,1983-11-01
Holiday,Madonna,1983,12,5,35.8,0,1983-12-01
Holiday,Madonna,1984,1,4,21.25,0,1984-01-01
Holiday,Madonna,1984,2,4,31.75,0,1984-02-01
Holiday,Madonna,1984,3,3,81.33333333333333,0,1984-03-01
How High The Moon (Part 1),Ella Fitzgerald,1960,8,3,95.66666666666667,0,1960-08-01
How High The Moon (Part 1),Ella Fitzgerald,1960,9,2,81.0,0,1960-09-01
Human Nature,Madonna,1995,6,1,57.0,0,1995-06-01
Human Nature,Madonna,1995,7,5,48.0,0,1995-07-01
Human Nature,Madonna,1995,8,4,51.0,0,1995-08-01
Human Nature,Madonna,1995,9,5,81.2,0,1995-09-01
Hung Up,Madonna,2005,11,4,20.5,0,2005-11-01
Hung Up,Madonna,2005,12,5,13.6,0,2005-12-01
